%% https://raw.githubusercontent.com/josefkr/morphcomp/master/wortwarte_lemma_polarity.txt
%% https://raw.githubusercontent.com/josefkr/morphcomp/master/wiktionary_lemma_polarity.txt
%% https://raw.githubusercontent.com/josefkr/morphcomp/master/train_test_lemma_polarity.txt
%% https://raw.githubusercontent.com/artificial-max/polcla/master/polcla/src/main/resources/dictionaries/germanlex.txt
%% https://raw.githubusercontent.com/markuskiller/textblob-de/master/textblob_de/data/de-sentiment.xml
%% https://pcai056.informatik.uni-leipzig.de/downloads/etc/SentiWS/SentiWS_v2.0.zip
%% data/bundestag_sentiments.txt
wirtschaftsflüchtling,-0.8
fresssack,-0.8
saftladen,-0.8
bohrinsel,0.0
radfahrer,0.0
aberglaube,-0.8
spielwiese,0.8
winkeljournalist,-0.8
sonderbilanz,0.0
kotzbrocken,-0.8
schweinefraß,-0.8
kraftmeier,-0.8
rennboot,0.0
schaulust,-0.8
betonkopf,-0.8
reithose,0.0
weinpanscher,-0.8
gierschlund,-0.8
ostwestfalen,0.0
fotzenlecker,-0.8
zeitungsente,-0.8
arschloch,-0.49505
krämerseele,-0.8
armeleutegeruch,-0.8
salonkommunismus,-0.8
talentfrei,-0.8
abschaum,-0.8
lausebengel,-0.8
landei,-0.8
notgeil,-0.8
eigenbrötler,-0.8
straßenkind,-0.8
dreiständerbau,0.0
vollidiot,-0.8
spitzname,0.0
schmierentheater,-0.8
erbsenzähler,-0.8
tratschtante,-0.8
hornochse,-0.8
einheitskleidung,-0.8
dunkeldeutschland,-0.8
pseudowissenschaft,-0.8
trinkgelage,-0.8
kuhdorf,-0.8
arschbacke,-0.8
fickloch,-0.8
dreieckmarke,0.0
halbwissen,-0.8
hutfahrer,-0.8
affenarsch,-0.8
wacholderbranntwein,0.0
spinatwachtel,-0.8
fettwanst,-0.8
schmähwort,-0.8
tattergreis,-0.8
neudeutsch,-0.8
sprachrevitalisierung,0.8
grüßaugust,-0.8
hängetitte,-0.8
brüllwürfel,-0.8
quotenfrau,-0.8
falkenberg,0.0
irrenanstalt,-0.8
hasstirade,-0.8
medizinball,0.0
gutmensch,-0.8
dudelfunk,-0.8
schmähschrift,-0.8
bolschewistisch,-0.8
kuschelkurs,-0.8
halbstark,-0.8
giftzwerg,-0.8
hofschranze,-0.8
wichsvorlage,-0.8
sauklaue,-0.8
galgenvogel,-0.8
schreckschraube,-0.8
abbremsen,-0.8
drachenboot,0.0
warmduscher,-0.8
revolverpresse,-0.8
neuhumanismus,0.0
drecksack,-0.8
arschkriecher,-0.8
rothaut,-0.8
aberglauben,-0.8
bierschiss,-0.8
pantoffelheld,-0.8
heuschrecke,-0.8
saftschubser,-0.8
kopftuchmädchen,-0.8
knackarsch,0.8
arschgeige,-0.8
hühnerkacke,-0.8
käseblatt,-0.8
boulevardpresse,-0.8
aasgestank,-0.8
mauerblümchen,-0.8
regenblase,0.0
quittegelb,-0.8
schildbürger,-0.8
abartig,-0.9333333333333332
abart,-0.7333333333333334
abbau,-0.5645
abberufen,-0.7333333333333334
abbitte,0.7333333333333334
abblendlicht,0.0
abbruch,-0.7011999999999999
abbruchreif,-0.8
abdankung,-0.40240000000000004
abendanzug,0.0
abendbrot,0.0
abendkursus,0.0
abendländisch,0.0
abendrot,0.0
abenteuerlich,0.7333333333333334
abenteuerlust,0.9333333333333332
abergläubisch,-0.7333333333333334
aberwitzig,-0.8333333333333334
abfallbeseitigung,-0.9333333333333332
abfallentsorgung,0.10000000000000002
abfällig,-0.779925
abfallwirtschaft,-0.9333333333333332
abfertigen,-0.7666666666666666
abfindungssumme,0.0
abgabenfrei,0.8
abgabenpflichtig,-0.8
abgabesoll,-0.8
abgasfrei,0.8
abbrennen,-0.7333333333333334
abbrühen,-0.9333333333333332
abklären,0.6599999999999999
abgeordnetenhaus,0.0
abreißen,-0.7778999999999999
abscheiden,-0.75
abgeschiedenheit,-0.6666666666666666
abgeschmacktheit,-0.9333333333333332
abspannen,-0.7666666666666666
abgestumpftheit,-0.9333333333333332
abwiegen,0.75
abgewogenheit,-0.8
abgötterei,-0.8
abgöttisch,0.0
abgründig,-0.667975
abgrundtief,-0.9
abhalftern,-0.9333333333333332
abhängig,-0.6262
abhängigkeit,-0.641325
abhängigkeitsverhältnis,-0.8
abhärtung,0.7333333333333334
abhelfen,0.75
abholzung,-0.9333333333333332
abkanzeln,-0.9333333333333332
abkanzelung,-0.9333333333333332
abkapiteln,-0.9333333333333332
abkapselung,-0.7333333333333334
abkürzungszeichen,0.0
ablassen,0.6666666666666666
ablehnen,-0.8076333333333334
ablehnung,-0.6706
ableugnen,-0.9
abmachen,0.551
abmühen,-0.8333333333333334
abnehmerland,0.0
abneigung,-0.6262
abnutzung,-0.6262
abnützung,-0.8333333333333334
abnutzungserscheinung,-0.9333333333333332
abonnementskarte,0.0
abplagen,-0.9333333333333332
abrackern,-0.9333333333333332
abraten,-0.6117666666666667
abreagieren,-0.8333333333333334
abrechnen,-0.9333333333333332
abrechnung,-0.8333333333333334
abreibung,-0.9333333333333332
abrichten,-0.75
abringen,-0.8333333333333334
abriss,-0.7011999999999999
abrüstung,0.8333333333333334
abrüstungsgespräch,0.7333333333333334
abrüstungskonferenz,0.0
abrüstungsverhandlung,0.7333333333333334
absacken,-0.75
absagen,-0.8333333333333334
abschalten,0.7333333333333334
abschätzig,-0.7011999999999999
abscheulich,-0.9333333333333332
abscheulichkeit,-0.8
abscheu,-0.9333333333333332
abschiebung,-0.9333333333333332
abschiedstag,0.0
abschlachtung,-0.8333333333333334
abschlaffen,-0.9333333333333332
abschlagen,-0.7333333333333334
abschließen,0.4346666666666667
abschrecken,-0.5454
abschreckung,-0.5512
